epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.96949,2.78512,4.20378,1.82901,0.00059,0.13333,0.13185,0.02963,2.84807,4.36385,2.13595,0.00034296,0.00034296,0.00034296
2,17.0144,2.59412,3.33741,1.65065,0,0,0,0,2.89873,3.93764,1.9887,0.000686346,0.000686346,0.000686346
3,24.6853,2.49276,3.07619,1.6705,0.00241,0.28718,0.02017,0.00673,2.63846,4.00449,2.02299,0.00101558,0.00101558,0.00101558
4,31.2359,2.45579,2.85253,1.67553,0.3619,0.02564,0.02315,0.0063,2.88161,3.36057,1.95719,0.00133068,0.00133068,0.00133068
5,38.5111,2.42328,2.66363,1.60457,0.00633,0.41905,0.05896,0.01257,2.67436,3.4974,1.88861,0.00131582,0.00131582,0.00131582
6,45.0437,2.42695,2.5695,1.58449,0.22551,0.19267,0.14824,0.04336,2.76487,3.05958,1.87759,0.00128753,0.00128753,0.00128753
7,52.4754,2.33502,2.62074,1.59074,0.59947,0.33315,0.21055,0.08181,2.77253,4.10001,1.88972,0.00125923,0.00125923,0.00125923
8,59.0772,2.33498,2.46895,1.56152,0.33344,0.46505,0.28597,0.10787,2.65813,3.3508,1.73102,0.00123094,0.00123094,0.00123094
9,66.7302,2.31176,2.45699,1.58899,0.52648,0.20952,0.17645,0.0495,2.75049,2.92285,1.91476,0.00120265,0.00120265,0.00120265
10,73.0765,2.30525,2.40924,1.59948,0.1793,0.23333,0.15372,0.03259,2.98807,3.00356,2.01333,0.00117435,0.00117435,0.00117435
11,80.4639,2.30581,2.25775,1.58036,0.50005,0.20952,0.12471,0.03425,2.84641,3.02499,2.01666,0.00114606,0.00114606,0.00114606
12,87.0714,2.31291,2.36642,1.55313,0.63394,0.25317,0.23814,0.09621,2.67319,2.62578,1.91643,0.00111776,0.00111776,0.00111776
13,94.7159,2.24926,2.29915,1.5549,0.36121,0.36667,0.28281,0.11206,2.67154,2.74725,1.8065,0.00108947,0.00108947,0.00108947
14,101.524,2.23588,2.19249,1.51351,0.31257,0.16961,0.17696,0.05494,2.75444,3.30559,1.96476,0.00106118,0.00106118,0.00106118
15,108.791,2.1884,2.11157,1.52608,0.26593,0.18812,0.21231,0.09185,2.68833,2.64184,1.88348,0.00103288,0.00103288,0.00103288
16,116.301,2.15486,2.14984,1.49571,0.26804,0.26996,0.22956,0.08281,2.75562,2.82085,1.82437,0.00100459,0.00100459,0.00100459
17,122.655,2.19556,2.04459,1.46589,0.37098,0.34945,0.28595,0.09307,2.60273,2.41459,1.77129,0.000976293,0.000976293,0.000976293
18,130.477,2.17844,1.98446,1.44628,0.71548,0.25714,0.2858,0.11004,2.71781,2.41296,1.7756,0.000947999,0.000947999,0.000947999
19,136.638,2.21883,2.08159,1.48873,0.3044,0.36227,0.32474,0.08773,2.81672,2.45568,1.86345,0.000919704,0.000919704,0.000919704
