Frame,ObjectID,SSIM,YOLO_Class,X,Y,W,H,Timestamp
1,0,0.8412,-,0,0,640,360,2025-06-13 03:57:08
151,1,0.9763,-,409,84,212,59,2025-06-13 03:57:12
152,1,0.9727,-,394,84,228,65,2025-06-13 03:57:12
153,1,0.9728,-,381,84,239,69,2025-06-13 03:57:12
154,1,0.9699,-,372,83,245,71,2025-06-13 03:57:12
155,1,0.9712,-,368,83,247,72,2025-06-13 03:57:12
156,1,0.9707,-,364,82,250,74,2025-06-13 03:57:12
157,1,0.9694,-,361,80,259,76,2025-06-13 03:57:12
158,1,0.9713,-,356,79,259,77,2025-06-13 03:57:12
159,1,0.976,-,356,79,229,76,2025-06-13 03:57:12
160,1,0.9804,-,357,79,181,75,2025-06-13 03:57:12
163,1,0.8585,-,136,0,310,352,2025-06-13 03:57:13
164,1,0.8845,-,109,0,402,352,2025-06-13 03:57:13
165,1,0.9001,-,53,0,477,352,2025-06-13 03:57:13
166,1,0.9201,-,109,0,455,351,2025-06-13 03:57:13
167,1,0.9225,-,109,0,509,352,2025-06-13 03:57:13
168,1,0.9147,-,109,0,531,352,2025-06-13 03:57:13
169,1,0.9241,-,109,0,531,352,2025-06-13 03:57:13
170,1,0.9326,-,109,0,531,352,2025-06-13 03:57:13
171,1,0.9588,-,109,51,322,301,2025-06-13 03:57:13
171,2,0.9565,-,355,0,285,174,2025-06-13 03:57:13
172,1,0.9628,-,111,53,320,299,2025-06-13 03:57:13
173,1,0.9763,-,121,61,309,276,2025-06-13 03:57:13
174,1,0.9836,-,142,120,288,209,2025-06-13 03:57:13
174,2,0.9271,-,160,70,268,131,2025-06-13 03:57:13
175,1,0.9889,-,172,120,249,162,2025-06-13 03:57:13
176,1,0.989,-,211,126,204,134,2025-06-13 03:57:13
786,3,0.9623,-,0,85,53,244,2025-06-13 03:57:24
787,3,0.9629,-,0,83,60,246,2025-06-13 03:57:24
788,3,0.9652,-,0,56,66,271,2025-06-13 03:57:25
789,3,0.9669,-,0,70,73,258,2025-06-13 03:57:25
790,3,0.9708,-,0,72,81,256,2025-06-13 03:57:25
791,3,0.9715,-,0,71,89,257,2025-06-13 03:57:25
792,3,0.9782,-,9,70,89,245,2025-06-13 03:57:25
793,3,0.9797,-,19,71,88,244,2025-06-13 03:57:25
794,3,0.9776,-,37,72,78,243,2025-06-13 03:57:25
795,3,0.9708,-,37,66,87,249,2025-06-13 03:57:25
796,3,0.9633,-,38,60,95,256,2025-06-13 03:57:25
797,3,0.9511,-,18,51,125,264,2025-06-13 03:57:25
798,3,0.9467,-,8,47,145,269,2025-06-13 03:57:25
799,3,0.9303,-,4,40,158,288,2025-06-13 03:57:25
800,3,0.9171,-,4,35,167,315,2025-06-13 03:57:25
801,3,0.902,-,0,70,181,280,2025-06-13 03:57:25
